省份,城市,年,月,日,星期几,最高温度,最低温度,天气,风向,风力
山西,太原,2014,7,21,星期一,30℃,19℃,小雨,西南风,微风
山西,太原,2014,7,22,星期二,24℃,19℃,小雨,无持续风向,微风
山西,太原,2014,7,23,星期三,25℃,18℃,多云,无持续风向,微风
山西,太原,2014,7,24,星期四,27℃,16℃,多云,无持续风向,微风
山西,太原,2014,7,25,星期五,30℃,18℃,晴,西北风,微风
山西,太原,2014,7,26,星期六,32℃,18℃,晴,无持续风向,微风
山西,太原,2014,7,27,星期日,34℃,18℃,晴,无持续风向,微风
山西,太原,2014,7,28,星期一,33℃,18℃,晴,无持续风向,微风
山西,太原,2014,7,29,星期二,30℃,17℃,小雨,无持续风向,微风
山西,太原,2014,7,30,星期三,32℃,19℃,晴,无持续风向,微风
山西,太原,2014,7,31,星期四,34℃,19℃,晴,无持续风向,微风
青海,西宁,2014,7,1,星期二,25℃,8℃,多云,无持续风向,微风
青海,西宁,2014,7,2,星期三,26℃,8℃,雷雨,无持续风向,微风
青海,西宁,2014,7,3,星期四,23℃,9℃,阵雨,无持续风向,微风
青海,西宁,2014,7,4,星期五,29℃,12℃,晴,无持续风向,微风
青海,西宁,2014,7,5,星期六,28℃,13℃,多云,无持续风向,微风
青海,西宁,2014,7,6,星期日,27℃,15℃,阵雨,无持续风向,微风
青海,西宁,2014,7,7,星期一,23℃,14℃,阵雨,无持续风向,微风
青海,西宁,2014,7,8,星期二,16℃,11℃,中雨,无持续风向,微风
青海,西宁,2014,7,9,星期三,17℃,12℃,小雨,无持续风向,微风
青海,西宁,2014,7,10,星期四,22℃,12℃,阵雨,无持续风向,微风
青海,西宁,2014,7,11,星期五,21℃,9℃,小雨,无持续风向,微风
青海,西宁,2014,7,12,星期六,23℃,9℃,阵雨,无持续风向,微风
青海,西宁,2014,7,13,星期日,24℃,8℃,雷雨,无持续风向,微风
青海,西宁,2014,7,14,星期一,26℃,9℃,晴,无持续风向,微风
青海,西宁,2014,7,15,星期二,29℃,10℃,雷雨,无持续风向,微风
青海,西宁,2014,7,16,星期三,30℃,11℃,晴,无持续风向,微风
青海,西宁,2014,7,17,星期四,31℃,13℃,晴,无持续风向,微风
青海,西宁,2014,7,18,星期五,30℃,14℃,多云,无持续风向,微风
青海,西宁,2014,7,19,星期六,26℃,15℃,多云,无持续风向,微风
青海,西宁,2014,7,20,星期日,23℃,16℃,多云,无持续风向,微风
青海,西宁,2014,7,21,星期一,19℃,14℃,阵雨,无持续风向,微风
青海,西宁,2014,7,22,星期二,16℃,12℃,中雨,无持续风向,微风
青海,西宁,2014,7,23,星期三,19℃,8℃,小雨,无持续风向,微风
青海,西宁,2014,7,24,星期四,27℃,10℃,多云,无持续风向,微风
青海,西宁,2014,7,25,星期五,28℃,10℃,晴,无持续风向,微风
青海,西宁,2014,7,26,星期六,28℃,11℃,晴,无持续风向,微风
青海,西宁,2014,7,27,星期日,28℃,11℃,阵雨,无持续风向,微风
青海,西宁,2014,7,28,星期一,29℃,12℃,晴,无持续风向,微风
青海,西宁,2014,7,29,星期二,29℃,11℃,晴,无持续风向,微风
青海,西宁,2014,7,30,星期三,29℃,14℃,晴,无持续风向,微风
青海,西宁,2014,7,31,星期四,30℃,12℃,晴,无持续风向,微风
内蒙古,呼和浩特,2014,7,1,星期二,23℃,16℃,小雨,西北风,微风
内蒙古,呼和浩特,2014,7,2,星期三,27℃,18℃,阵雨,西风,3-4级
内蒙古,呼和浩特,2014,7,3,星期四,28℃,17℃,阵雨,北风,微风
内蒙古,呼和浩特,2014,7,4,星期五,29℃,18℃,晴,东风,3-4级
内蒙古,呼和浩特,2014,7,5,星期六,29℃,18℃,多云,南风,微风
内蒙古,呼和浩特,2014,7,6,星期日,31℃,20℃,多云,南风,3-4级
内蒙古,呼和浩特,2014,7,7,星期一,25℃,16℃,中雨,西南风,3-4级
内蒙古,呼和浩特,2014,7,8,星期二,26℃,16℃,多云,北风,3-4级
内蒙古,呼和浩特,2014,7,9,星期三,26℃,16℃,多云,西南风,微风
内蒙古,呼和浩特,2014,7,10,星期四,27℃,15℃,多云,北风,微风
内蒙古,呼和浩特,2014,7,11,星期五,26℃,15℃,多云,西北风,3-4级
内蒙古,呼和浩特,2014,7,12,星期六,27℃,14℃,多云,东北风,3-4级
内蒙古,呼和浩特,2014,7,13,星期日,27℃,16℃,多云,西北风,3-4级
内蒙古,呼和浩特,2014,7,14,星期一,29℃,16℃,阵雨,西南风,3-4级
内蒙古,呼和浩特,2014,7,15,星期二,29℃,17℃,阵雨,西风,微风
内蒙古,呼和浩特,2014,7,16,星期三,30℃,20℃,阵雨,东北风,微风
内蒙古,呼和浩特,2014,7,17,星期四,33℃,21℃,晴,西南风,微风
内蒙古,呼和浩特,2014,7,18,星期五,33℃,21℃,晴,南风,3-4级
内蒙古,呼和浩特,2014,7,19,星期六,33℃,22℃,晴,西南风,3-4级
内蒙古,呼和浩特,2014,7,20,星期日,28℃,19℃,小雨,西南风,3-4级
内蒙古,呼和浩特,2014,7,21,星期一,25℃,17℃,阵雨,西北风,微风
内蒙古,呼和浩特,2014,7,22,星期二,20℃,15℃,小雨,东风,微风
内蒙古,呼和浩特,2014,7,23,星期三,26℃,16℃,多云,西风,微风
内蒙古,呼和浩特,2014,7,24,星期四,28℃,16℃,多云,北风,微风
内蒙古,呼和浩特,2014,7,25,星期五,30℃,18℃,多云,西南风,3-4级
内蒙古,呼和浩特,2014,7,26,星期六,31℃,19℃,晴,西南风,3-4级
内蒙古,呼和浩特,2014,7,27,星期日,32℃,18℃,晴,南风,3-4级
内蒙古,呼和浩特,2014,7,28,星期一,31℃,20℃,阵雨,东南风,微风
内蒙古,呼和浩特,2014,7,29,星期二,25℃,16℃,阵雨,西南风,3-4级
内蒙古,呼和浩特,2014,7,30,星期三,32℃,17℃,晴,南风,微风
内蒙古,呼和浩特,2014,7,31,星期四,34℃,21℃,晴,西南风,微风
新疆,乌鲁木齐,2014,7,1,星期二,30℃,22℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,2,星期三,33℃,19℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,3,星期四,26℃,16℃,阵雨,西北风,3-4级
新疆,乌鲁木齐,2014,7,4,星期五,29℃,19℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,5,星期六,26℃,16℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,6,星期日,27℃,17℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,7,星期一,28℃,18℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,8,星期二,29℃,17℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,9,星期三,25℃,17℃,小雨,西北风,3-4级
新疆,乌鲁木齐,2014,7,10,星期四,29℃,18℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,11,星期五,33℃,22℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,12,星期六,36℃,23℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,13,星期日,36℃,24℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,14,星期一,33℃,21℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,15,星期二,32℃,19℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,16,星期三,26℃,14℃,小雨,西北风,3-4级
新疆,乌鲁木齐,2014,7,17,星期四,26℃,17℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,18,星期五,24℃,16℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,19,星期六,28℃,18℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,20,星期日,32℃,21℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,21,星期一,35℃,23℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,22,星期二,34℃,23℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,23,星期三,37℃,20℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,24,星期四,28℃,21℃,小雨,西北风,3-4级
新疆,乌鲁木齐,2014,7,25,星期五,29℃,20℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,26,星期六,32℃,21℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,27,星期日,31℃,22℃,晴,无持续风向,微风
新疆,乌鲁木齐,2014,7,28,星期一,34℃,17℃,小雨,无持续风向,微风
新疆,乌鲁木齐,2014,7,29,星期二,24℃,16℃,多云,西北风,3-4级
新疆,乌鲁木齐,2014,7,30,星期三,25℃,17℃,多云,无持续风向,微风
新疆,乌鲁木齐,2014,7,31,星期四,24℃,16℃,多云,无持续风向,微风
西藏,拉萨,2014,7,1,星期二,22℃,8℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,2,星期三,22℃,10℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,3,星期四,20℃,12℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,4,星期五,23℃,12℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,5,星期六,25℃,14℃,多云,无持续风向,微风
西藏,拉萨,2014,7,6,星期日,26℃,14℃,多云,无持续风向,微风
西藏,拉萨,2014,7,7,星期一,27℃,14℃,多云,无持续风向,微风
西藏,拉萨,2014,7,8,星期二,25℃,15℃,阴,无持续风向,微风
西藏,拉萨,2014,7,9,星期三,26℃,15℃,多云,无持续风向,微风
西藏,拉萨,2014,7,10,星期四,26℃,14℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,11,星期五,26℃,11℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,12,星期六,23℃,11℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,13,星期日,22℃,14℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,14,星期一,21℃,10℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,15,星期二,21℃,11℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,16,星期三,20℃,12℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,17,星期四,23℃,11℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,18,星期五,22℃,12℃,多云,无持续风向,微风
西藏,拉萨,2014,7,19,星期六,23℃,15℃,多云,无持续风向,微风
西藏,拉萨,2014,7,20,星期日,24℃,15℃,多云,无持续风向,微风
西藏,拉萨,2014,7,21,星期一,25℃,13℃,阴,无持续风向,微风
西藏,拉萨,2014,7,22,星期二,23℃,12℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,23,星期三,20℃,10℃,中雨,无持续风向,微风
西藏,拉萨,2014,7,24,星期四,20℃,9℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,25,星期五,20℃,9℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,26,星期六,22℃,11℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,27,星期日,23℃,12℃,阵雨,无持续风向,微风
西藏,拉萨,2014,7,28,星期一,23℃,11℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,29,星期二,23℃,12℃,小雨,无持续风向,微风
西藏,拉萨,2014,7,30,星期三,22℃,10℃,中雨,无持续风向,微风
西藏,拉萨,2014,7,31,星期四,21℃,10℃,中雨,无持续风向,微风
四川,成都,2014,7,1,星期二,30℃,20℃,多云,北风,微风
四川,成都,2014,7,2,星期三,29℃,22℃,多云,南风,微风
四川,成都,2014,7,3,星期四,28℃,20℃,阴,南风,微风
四川,成都,2014,7,4,星期五,32℃,22℃,晴,南风,微风
四川,成都,2014,7,5,星期六,31℃,24℃,多云,南风,微风
四川,成都,2014,7,6,星期日,28℃,23℃,阴,北风,微风
四川,成都,2014,7,7,星期一,27℃,23℃,阵雨,北风,微风
四川,成都,2014,7,8,星期二,30℃,24℃,阴,南风,微风
四川,成都,2014,7,9,星期三,27℃,21℃,阵雨,北风,微风
四川,成都,2014,7,10,星期四,25℃,21℃,中雨,北风,微风
四川,成都,2014,7,11,星期五,28℃,23℃,多云,南风,微风
四川,成都,2014,7,12,星期六,28℃,21℃,多云,南风,微风
四川,成都,2014,7,13,星期日,32℃,21℃,多云,南风,微风
四川,成都,2014,7,14,星期一,30℃,21℃,多云,南风,微风
四川,成都,2014,7,15,星期二,31℃,21℃,多云,南风,微风
四川,成都,2014,7,16,星期三,32℃,22℃,多云,南风,微风
四川,成都,2014,7,17,星期四,32℃,22℃,多云,南风,微风
四川,成都,2014,7,18,星期五,33℃,22℃,多云,南风,微风
四川,成都,2014,7,19,星期六,29℃,22℃,阵雨,南风,3-4级
四川,成都,2014,7,20,星期日,28℃,23℃,阵雨,南风,微风
四川,成都,2014,7,21,星期一,30℃,24℃,阴,南风,微风
四川,成都,2014,7,22,星期二,33℃,24℃,多云,南风,微风
四川,成都,2014,7,23,星期三,35℃,25℃,多云,南风,微风
四川,成都,2014,7,24,星期四,34℃,22℃,阵雨,北风,微风
四川,成都,2014,7,25,星期五,35℃,24℃,晴,南风,微风
四川,成都,2014,7,26,星期六,34℃,23℃,多云,南风,微风
四川,成都,2014,7,27,星期日,34℃,24℃,多云,南风,微风
四川,成都,2014,7,28,星期一,33℃,24℃,阵雨,南风,微风
四川,成都,2014,7,29,星期二,32℃,24℃,阵雨,南风,微风
四川,成都,2014,7,30,星期三,31℃,23℃,中雨,南风,微风
四川,成都,2014,7,31,星期四,28℃,23℃,中雨,北风,微风
澳门,澳门,2014,7,1,星期二,31℃,27℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,2,星期三,34℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,3,星期四,33℃,28℃,晴,无持续风向,微风
澳门,澳门,2014,7,4,星期五,35℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,5,星期六,34℃,29℃,多云,无持续风向,微风
澳门,澳门,2014,7,6,星期日,34℃,28℃,晴,无持续风向,微风
澳门,澳门,2014,7,7,星期一,33℃,29℃,多云,无持续风向,微风
澳门,澳门,2014,7,8,星期二,35℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,9,星期三,34℃,27℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,10,星期四,33℃,27℃,中雨,无持续风向,微风
澳门,澳门,2014,7,11,星期五,32℃,27℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,12,星期六,32℃,27℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,13,星期日,34℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,14,星期一,34℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,15,星期二,34℃,29℃,晴,无持续风向,微风
澳门,澳门,2014,7,16,星期三,34℃,27℃,晴,无持续风向,微风
澳门,澳门,2014,7,17,星期四,32℃,26℃,大雨,东南风,3-4级
澳门,澳门,2014,7,18,星期五,30℃,26℃,大雨,东南风,6-7级
澳门,澳门,2014,7,19,星期六,31℃,27℃,阵雨,南风,3-4级
澳门,澳门,2014,7,20,星期日,32℃,28℃,阵雨,东南风,3-4级
澳门,澳门,2014,7,21,星期一,32℃,27℃,多云,无持续风向,微风
澳门,澳门,2014,7,22,星期二,35℃,28℃,晴,无持续风向,微风
澳门,澳门,2014,7,23,星期三,35℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,24,星期四,35℃,27℃,多云,西南风,3-4级
澳门,澳门,2014,7,25,星期五,33℃,27℃,多云,无持续风向,微风
澳门,澳门,2014,7,26,星期六,32℃,27℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,27,星期日,31℃,26℃,阵雨,无持续风向,微风
澳门,澳门,2014,7,28,星期一,33℃,27℃,多云,无持续风向,微风
澳门,澳门,2014,7,29,星期二,33℃,28℃,多云,无持续风向,微风
澳门,澳门,2014,7,30,星期三,35℃,28℃,晴,无持续风向,微风
澳门,澳门,2014,7,31,星期四,35℃,28℃,晴,无持续风向,微风
香港,香港,2014,7,1,星期二,32℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,2,星期三,32℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,3,星期四,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,4,星期五,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,5,星期六,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,6,星期日,33℃,28℃,小雨,无持续风向,微风
香港,香港,2014,7,7,星期一,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,8,星期二,34℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,9,星期三,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,10,星期四,33℃,27℃,阵雨,南风,3-4级
香港,香港,2014,7,11,星期五,32℃,27℃,阵雨,无持续风向,微风
香港,香港,2014,7,12,星期六,32℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,13,星期日,33℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,14,星期一,33℃,28℃,小雨,无持续风向,微风
香港,香港,2014,7,15,星期二,33℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,16,星期三,34℃,27℃,多云,南风,3-4级
香港,香港,2014,7,17,星期四,31℃,26℃,小到中雨,东风,4-5级
香港,香港,2014,7,18,星期五,30℃,26℃,大到暴雨,无持续风向,微风
香港,香港,2014,7,19,星期六,30℃,27℃,阵雨,东南风,4-5级
香港,香港,2014,7,20,星期日,32℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,21,星期一,32℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,22,星期二,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,23,星期三,33℃,27℃,阵雨,无持续风向,微风
香港,香港,2014,7,24,星期四,32℃,27℃,小雨,无持续风向,微风
香港,香港,2014,7,25,星期五,32℃,27℃,阵雨,无持续风向,微风
香港,香港,2014,7,26,星期六,32℃,27℃,阵雨,无持续风向,微风
香港,香港,2014,7,27,星期日,32℃,28℃,阵雨,无持续风向,微风
香港,香港,2014,7,28,星期一,32℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,29,星期二,33℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,30,星期三,34℃,28℃,多云,无持续风向,微风
香港,香港,2014,7,31,星期四,34℃,28℃,多云,无持续风向,微风
北京,北京,2014,8,1,星期五,32℃,25℃,晴,无持续风向,微风
北京,北京,2014,8,2,星期六,33℃,26℃,多云,无持续风向,微风
北京,北京,2014,8,3,星期日,32℃,24℃,雷雨,无持续风向,微风
北京,北京,2014,8,4,星期一,29℃,21℃,多云,无持续风向,微风
北京,北京,2014,8,5,星期二,31℃,21℃,晴,无持续风向,微风
北京,北京,2014,8,6,星期三,34℃,21℃,晴,无持续风向,微风
北京,北京,2014,8,7,星期四,32℃,21℃,多云,无持续风向,微风
北京,北京,2014,8,8,星期五,31℃,21℃,多云,无持续风向,微风
北京,北京,2014,8,9,星期六,31℃,21℃,雷雨,无持续风向,微风
北京,北京,2014,8,10,星期日,32℃,22℃,晴,无持续风向,微风
北京,北京,2014,8,11,星期一,33℃,21℃,晴,无持续风向,微风
北京,北京,2014,8,12,星期二,32℃,19℃,雷雨,无持续风向,微风
北京,北京,2014,8,13,星期三,24℃,18℃,多云,无持续风向,微风
北京,北京,2014,8,14,星期四,31℃,20℃,雷雨,无持续风向,微风
北京,北京,2014,8,15,星期五,32℃,20℃,晴,无持续风向,微风
北京,北京,2014,8,16,星期六,32℃,22℃,多云,无持续风向,微风
北京,北京,2014,8,17,星期日,30℃,21℃,阴,无持续风向,微风
北京,北京,2014,8,18,星期一,30℃,21℃,晴,无持续风向,微风
北京,北京,2014,8,19,星期二,32℃,22℃,晴,无持续风向,微风
北京,北京,2014,8,20,星期三,34℃,23℃,多云,无持续风向,微风
北京,北京,2014,8,21,星期四,32℃,23℃,多云,无持续风向,微风
北京,北京,2014,8,22,星期五,30℃,22℃,雷雨,无持续风向,微风
北京,北京,2014,8,23,星期六,31℃,22℃,阴,无持续风向,微风
北京,北京,2014,8,24,星期日,31℃,19℃,晴,无持续风向,微风
北京,北京,2014,8,25,星期一,32℃,19℃,晴,无持续风向,微风
北京,北京,2014,8,26,星期二,33℃,19℃,多云,无持续风向,微风
北京,北京,2014,8,27,星期三,34℃,20℃,晴,无持续风向,微风
北京,北京,2014,8,28,星期四,27℃,19℃,阵雨,无持续风向,微风
北京,北京,2014,8,29,星期五,27℃,19℃,多云,无持续风向,微风
北京,北京,2014,8,30,星期六,27℃,19℃,阵雨,无持续风向,微风
北京,北京,2014,8,31,星期日,26℃,20℃,阴,无持续风向,微风
重庆,重庆,2014,8,1,星期五,35℃,26℃,阴,无持续风向,微风
重庆,重庆,2014,8,2,星期六,37℃,27℃,多云,无持续风向,微风
重庆,重庆,2014,8,3,星期日,38℃,28℃,晴,无持续风向,微风
重庆,重庆,2014,8,4,星期一,38℃,28℃,多云,无持续风向,微风
重庆,重庆,2014,8,5,星期二,39℃,27℃,晴,无持续风向,微风
重庆,重庆,2014,8,6,星期三,40℃,29℃,多云,无持续风向,微风
重庆,重庆,2014,8,7,星期四,40℃,29℃,晴,无持续风向,微风
重庆,重庆,2014,8,8,星期五,37℃,27℃,多云,无持续风向,微风
重庆,重庆,2014,8,9,星期六,32℃,25℃,中雨,无持续风向,微风
重庆,重庆,2014,8,10,星期日,28℃,23℃,中雨,无持续风向,微风
重庆,重庆,2014,8,11,星期一,28℃,21℃,阵雨,无持续风向,微风
重庆,重庆,2014,8,12,星期二,25℃,21℃,阴,无持续风向,微风
重庆,重庆,2014,8,13,星期三,29℃,23℃,阴,无持续风向,微风
重庆,重庆,2014,8,14,星期四,33℃,23℃,阴,无持续风向,微风
重庆,重庆,2014,8,15,星期五,34℃,24℃,小雨,无持续风向,微风
重庆,重庆,2014,8,16,星期六,29℃,24℃,中雨,无持续风向,微风
重庆,重庆,2014,8,17,星期日,28℃,24℃,中雨,无持续风向,微风
重庆,重庆,2014,8,18,星期一,28℃,24℃,阴,无持续风向,微风
重庆,重庆,2014,8,19,星期二,34℃,23℃,晴,无持续风向,微风
重庆,重庆,2014,8,20,星期三,34℃,24℃,多云,无持续风向,微风
重庆,重庆,2014,8,21,星期四,34℃,24℃,阵雨,无持续风向,微风
重庆,重庆,2014,8,22,星期五,27℃,21℃,中雨,无持续风向,微风
重庆,重庆,2014,8,23,星期六,23℃,20℃,阵雨,无持续风向,微风
重庆,重庆,2014,8,24,星期日,27℃,23℃,阴,无持续风向,微风
重庆,重庆,2014,8,25,星期一,31℃,23℃,阴,无持续风向,微风
重庆,重庆,2014,8,26,星期二,29℃,21℃,大雨,无持续风向,微风
重庆,重庆,2014,8,27,星期三,25℃,21℃,中雨,无持续风向,微风
重庆,重庆,2014,8,28,星期四,26℃,22℃,小雨,无持续风向,微风
重庆,重庆,2014,8,29,星期五,30℃,24℃,阵雨,无持续风向,微风
重庆,重庆,2014,8,30,星期六,33℃,25℃,多云,无持续风向,微风
重庆,重庆,2014,8,31,星期日,29℃,23℃,中雨,无持续风向,微风
上海,上海,2014,8,1,星期五,28℃,26℃,阵雨,东北风,5-6级
上海,上海,2014,8,2,星期六,28℃,26℃,阴,西北风,5-6级
上海,上海,2014,8,3,星期日,34℃,27℃,多云,西风,3-4级
上海,上海,2014,8,4,星期一,36℃,28℃,晴,西南风,3-4级
上海,上海,2014,8,5,星期二,35℃,28℃,晴,东南风,3-4级
上海,上海,2014,8,6,星期三,35℃,27℃,多云,东南风,3-4级
上海,上海,2014,8,7,星期四,34℃,26℃,多云,东风,3-4级
上海,上海,2014,8,8,星期五,30℃,26℃,阵雨,东北风,3-4级
上海,上海,2014,8,9,星期六,28℃,25℃,阵雨,东北风,微风
上海,上海,2014,8,10,星期日,28℃,25℃,阴,西北风,3-4级
上海,上海,2014,8,11,星期一,30℃,25℃,阴,东北风,3-4级
上海,上海,2014,8,12,星期二,28℃,24℃,小雨,东北风,3-4级
上海,上海,2014,8,13,星期三,30℃,24℃,中雨,东风,3-4级
上海,上海,2014,8,14,星期四,28℃,25℃,小雨,东北风,4-5级
上海,上海,2014,8,15,星期五,28℃,24℃,多云,北风,3-4级
上海,上海,2014,8,16,星期六,30℃,23℃,中雨,东风,3-4级
上海,上海,2014,8,17,星期日,25℃,23℃,小雨,东北风,4-5级
上海,上海,2014,8,18,星期一,26℃,22℃,大雨,北风,3-4级
上海,上海,2014,8,19,星期二,24℃,21℃,中到大雨,北风,3-4级
上海,上海,2014,8,20,星期三,24℃,21℃,阴,北风,4-5级
上海,上海,2014,8,21,星期四,30℃,24℃,多云,西风,3-4级
上海,上海,2014,8,22,星期五,31℃,25℃,阴,东南风,3-4级
上海,上海,2014,8,23,星期六,32℃,26℃,阴,东南风,3-4级
上海,上海,2014,8,24,星期日,34℃,25℃,中雨,南风,3-4级
上海,上海,2014,8,25,星期一,30℃,25℃,多云,西北风,3-4级
上海,上海,2014,8,26,星期二,30℃,24℃,阵雨,东北风,3-4级
上海,上海,2014,8,27,星期三,25℃,23℃,阵雨,东风,3-4级
上海,上海,2014,8,28,星期四,29℃,24℃,阴,东北风,3-4级
上海,上海,2014,8,29,星期五,27℃,23℃,中雨,东北风,3-4级
上海,上海,2014,8,30,星期六,29℃,24℃,多云,东北风,3-4级
上海,上海,2014,8,31,星期日,29℃,24℃,阵雨,东风,3-4级
天津,天津,2014,8,1,星期五,33℃,26℃,多云,东南风,微风
天津,天津,2014,8,2,星期六,35℃,27℃,多云,东风,微风
天津,天津,2014,8,3,星期日,33℃,26℃,雷雨,东北风,微风
天津,天津,2014,8,4,星期一,29℃,20℃,小到中雨,东北风,微风
天津,天津,2014,8,5,星期二,30℃,23℃,多云,北风,微风
天津,天津,2014,8,6,星期三,31℃,23℃,晴,东北风,微风
天津,天津,2014,8,7,星期四,34℃,23℃,晴,东风,微风
天津,天津,2014,8,8,星期五,32℃,23℃,晴,东风,微风
天津,天津,2014,8,9,星期六,30℃,24℃,雷雨,东南风,微风
天津,天津,2014,8,10,星期日,32℃,24℃,晴,东南风,微风
天津,天津,2014,8,11,星期一,34℃,24℃,晴,北风,微风
天津,天津,2014,8,12,星期二,34℃,23℃,雷雨,北风,微风
天津,天津,2014,8,13,星期三,26℃,20℃,阵雨,东北风,3-4级
天津,天津,2014,8,14,星期四,30℃,22℃,多云,南风,微风
天津,天津,2014,8,15,星期五,32℃,23℃,阴,南风,微风
天津,天津,2014,8,16,星期六,33℃,24℃,阴,东南风,微风
天津,天津,2014,8,17,星期日,29℃,21℃,阵雨,东北风,微风
天津,天津,2014,8,18,星期一,30℃,22℃,晴,北风,微风
天津,天津,2014,8,19,星期二,32℃,23℃,晴,南风,微风
天津,天津,2014,8,20,星期三,34℃,24℃,多云,西南风,微风
天津,天津,2014,8,21,星期四,33℃,25℃,多云,西南风,微风
天津,天津,2014,8,22,星期五,32℃,23℃,雷雨,东南风,微风
天津,天津,2014,8,23,星期六,31℃,22℃,中雨,南风,微风
天津,天津,2014,8,24,星期日,29℃,21℃,多云,北风,3-4级
天津,天津,2014,8,25,星期一,31℃,21℃,晴,西北风,微风
天津,天津,2014,8,26,星期二,33℃,23℃,晴,西南风,微风
天津,天津,2014,8,27,星期三,33℃,23℃,多云,南风,微风
天津,天津,2014,8,28,星期四,31℃,22℃,雷雨,东南风,微风
天津,天津,2014,8,29,星期五,29℃,21℃,多云,东北风,微风
天津,天津,2014,8,30,星期六,29℃,20℃,雷雨,东南风,微风
天津,天津,2014,8,31,星期日,26℃,21℃,阵雨,东风,微风
安徽,合肥,2014,8,1,星期五,31℃,25℃,阴,东北风,4-5级
安徽,合肥,2014,8,2,星期六,32℃,26℃,晴,北风,3-4级
安徽,合肥,2014,8,3,星期日,34℃,27℃,晴,西北风,微风
安徽,合肥,2014,8,4,星期一,36℃,28℃,晴,东南风,微风
安徽,合肥,2014,8,5,星期二,36℃,28℃,多云,东北风,微风
安徽,合肥,2014,8,6,星期三,34℃,26℃,小雨,东风,微风
